용어,챗봇
중심지미관지구,"국토의 계획 및 이용에 관한 법률에 규정해 놓은 미관지구의 하나로 토지의 이용도가 높은 지역의 미관을 유지 · 관리하기 위해 필요하여 지정해 놓은 지구다.① 미관지구안에서는 그 지구의 위치 · 환경 그 밖의 특성에 따른 미관의 유지에 장애가 된다고 인정하여 도시 · 군계획조례가 정하는 건축물을 건축할 수 없다. 다만, 특별시장 · 광역시장 · 특별자치시장 · 특별자치도지사 · 시장 또는 군수가 지구의 지정목적에 위배되지 않는 범위안에서 도시 · 군계획조례가 정하는 기준에 적합하다고 인정하여 당해 지방자치단체에 설치된 도시계획위원회의 심의를 거친 경우에는 상관없다.② 미관지구안에서 건축물의 높이 및 규모(건축물의 앞면길이에 대한 옆면길이 또는 높이의 비율을 포함한다), 부속건축물의 규모, 건축물 · 담장 및 대문의 형태 · 색채, 건축물의 바깥쪽으로 돌출하는 건축설비 그 밖의 유사한 것의 형태 · 색채 또는 그 설치의 제한 및 금지 등은 그 지구의 위치 · 환경 그 밖의 특성에 따른 미관의 유지에 필요한 범위안에서 도시 · 군계획조례로 정해 놓았다.용도지구 제도가 도입된 이후 유사한 목적의 용도지구가 세분화되거나 경직적으로 운영되면서 여건변화를 반영한 통 · 폐합 등의 필요성이 증가하고 있고, 일부 용도지구는 상호간에 중첩 지정되어 토지이용에 불편을 초래하는 측면도 있어 용도지구 제도를 보다 합리적으로 정비하는 것이 필요하여 유사한 목적의 용도지구를 통 · 폐합하고 정비하여 토지이용 체계를 간소화 · 합리화하기위하여 2017. 4.18. 미관지구와 경관지구를 통합하여 경관지구로 변경되었다.이에 시행령에서 중심지미관지구와 일반미관지구는 시가지경관지구로, 역사문화미관지구는 특화경관지구로 흡수 통합되었다."
빌딩관리사,"일정한 자격을 갖추고 빌딩을 관리하는 전문가를 말한다. 국내에는 국가자격제도는 없고, 다만 자격기본법에 따라 민간부분이 이 전문가를 양성한다.자격기본법에 따라 민간교육기관(한국산업교육원)이 빌딩경영관리사라는 명칭으로 전문가를 양성하며, 정부(산업통상자원부)가 자격을 공인해주며, 동일한 명의의 국가자격을 신설하지 못하도록 하고 있다."
준부동산,"부동산으로 간주(의제)하는 공업재단, 광업재단, 자동차, 항공기, 중기, 선박 및 입목 등을 말한다. 이것들은 부동산과 같이 경제가치가 큰 것으로 저당권 대상이 되는 것들이며 등기나 등록을 하는 물건들이다."
관리사무소장,"아파트의 운영 · 관리를 위한 각종 유지 · 보수 · 교체 · 개량, 관리비 등 각종 경비의 청구 · 수령, 장기수선계획의 조정, 시설물 안전관리계획의 수립 및 건축물의 안전점검 등 각종 업무를 수행하도록 아파트를 위탁관리 하는 경우에는 주택관리업자가, 자치관리 하는 경우에는 입주자대표회의가 배치하는 주택관리사 또는 주택관리사보의 자격이 있는 자를 말한다.500세대 미만의 아파트는 주택관리사 또는 주택관리사보를, 500세대 이상의 아파트는 주택관리사를 관리사무소장으로 두어야 한다. 또한 배치된 주택관리사 등이 해임 그 밖의 사유로 결원이 생긴 때에는 그 사유가 발생한 날부터 15일 이내에 새로운 주택관리사 등을 배치해야 한다. 자치관리방식이든 위탁관리방식이든 관리사무소장은 행정, 기술직 요원으로 구성된 관리사무소에서 관리업무 집행을 하는 리더로서 그 역할은 관리 성과에 영향을 미친다.따라서 소장의 역할은 아주 중요하다. 관리사무소장은 공동주택을 안전하고 효율적으로 관리하여 입주자 및 사용자의 권익을 보호하기 위하여 다음 각 호의 업무를 선량한 관리자로서 성실히 그 직무를 집행해야 한다.① 공동주택의 운영 · 관리 · 유지 · 보수 · 교체 · 개량에 관한 업무,② 상기 업무를 집행하기 위한 관리비 · 장기수선충당금, 그 밖의 경비 청구, 수령, 지출 업무,③ 장기수선계획의 조정, 시설물의 안전관리 계획의 수립 및 건축물의 안전점검에 관한 업무,④ 다음 업무의 지휘, 총괄업무, ㉠ 공동주택의 공용부분유지, 보수 및 안전관리, ㉡ 공동주택단지안의 경비, 청소, 소독 및 쓰레기 수거, ㉢ 관리비 및 사용료의 징수와 공과금 등의 납부 대행, ㉣ 장기수선충당금의 징수, 적립 및 관리, ㉤ 관리규약으로 정한 사항의 집행, ㉥ 입주자대표회의에서 의결한 사항의 집행, ㉦ 공동주택관리업무의 공개, 홍보 및 공동시설물의 사용방법에 관한 지도계몽, ㉧ 입주자 등의 공동사용에 제공되고 있는 공동주택단지안의 토지, 부대시설 및 복리시설에 대한 무단 점유행위의 방지 및 위반행위 시 조처, ㉨ 공동주택단지 안에서 발생한 안전사고 및 도난사고 등에 대한 대응조처,⑤ 공동주택의 시설물로 인한 안전사고 예방을 위하여 세우는 안전관리계획의 수립업무 및 건축물의 안전점검에 관한 업무,⑥ 관리소장으로 그 배치내용과 업무의 집행에 사용할 직인을 시장, 군수, 구청장에게 신고하는 업무.근거는 공동주택관리법이다."
대토보상,"현금대신 토지로 보상하는 것을 말한다. 손실보상은 현금보상이 원칙이지만, 토지소유자가 원하는 경우로서 사업시행자가 해당 공익사업의 합리적인 토지이용계획과 사업계획 등을 고려하여 토지로 보상이 가능한 경우에는 토지소유자가 받을 보상금 중 현금 또는 채권으로 보상받는 금액을 제외한 부분에 대하여 공익사업의 시행으로 조성한 토지로 보상할 수 있다. 근거법은 공익사업을 위한 토지 등의 취득 및 보상에 관한 법률이다."
발주자,"건설공사 전부를 건설업자에게 최초로 위탁하는 자 또는 공사를 공사업자에게 도급하는 자를 말한다. 다만, 수급인(受給人)으로서 도급받은 공사를 하도급(下都給)하는 자는 제외한다. 사업자가 다른 사업자에게 물품 또는 용역 등을 제조 · 수리 위탁하여 납품받거나 건설공사를 건설업체에게 건설 위탁하여 공사를 시공하게 할 경우 당해 물품 또는 용역의 제조 · 수리나 건설공사를 최초로 위탁하는 사업자를 말한다.통상적으로 사업자는 자기의 사업활동에 소요되는 물품 또는 용역을 전문납품업체를 통해 공급받거나 각종 공사를 건설업체를 통해 시공하게 하는 경우가 대부분이며 이러한 행위는 주로 하도급 거래의 형태로 이루어지고 있다. 관련법은 건설산업기본법이다."
중개보조원,공인중개사가 아닌 자로 개업공인중개사에 소속되어 중개대상물에 대한 현장안내 및 일반서무 등 중개업자의 중개업무와 관련된 단순한 업무를 보조하는 자를 말한다. 중개보조원은 공인중개 사무소를 개설할 수 없으며 다른 중개사무소에 이중으로 고용 될 수 없다.중개업자가 소속공인중개사의 중개보조원을 고용하거나 해고한 때에는 등록관청에 신고해야 한다. 중개보조원의 업무상 행위는 그를 고용한 개업공인중개사의 행위로 본다. 자격정지처분을 받은 공인중개사가 중개보조원의 업무를 했을 경우 자격이 취소된다.관련법은 공인중개사법이다.
영업손실보상,"공공사업 등의 시행으로 인한 토지나 건물의 매수 또는 수용으로 인하여 영업에 손실이 발생했을 때 영업이익과 시설의 이전 비용 등을 참작하여 지급하는 보상을 말한다.사업인정고시일 이전부터 보상계획공고일 현재까지 적법한 장소(무허가건축물 등, 불법형질변경토지, 그 밖에 다른 법령에서 물건을 쌓아놓는 행위가 금지되는 장소가 아닌 곳을 말한다)에서 인적 · 물적시설을 갖추고 계속적으로 하고 있는 영업(다만, 무허가건축물등에서 임차인이 영업하는 경우에는 그 임차인이 사업인정고시일등 1년 이전부터 부가가치세법 제8조에 따른 사업자등록을 하고 행하고 있는 영업을 말한다) 및 영업이 관계법령에 의거 허가 등을 필요로 하는 경우에는 사업인정고시일 등 전에 허가받아 그 내용대로 하고 있는 영업이 보상대상이다.영업폐지의 영업손실은 2년간 영업이익(개인영업은 소득)에 영업용 고정자산 · 원재료 · 제품 및 상품 등의 매각손실액을 더한 금액으로 평가한다.이때 영업이익은 해당 영업의 최근 3년간(특별한 사정으로 인하여 정상적인 영업이 이루어지지 아니한 연도를 제외한다)의 평균 영업이익을 기준으로 하여 이를 평가하되, 공익사업의 계획 또는 시행이 공고 또는 고시되어 영업이익이 감소된 경우에는 해당 공고 또는 고시일전 3년간의 평균 영업이익을 기준으로 평가한다.이 경우 개인영업으로서 최근 3년간의 평균 영업이익이 다음 산식에 의하여 산정한 연간 영업이익에 미달하는 경우에는 그 연간 영업이익을 최근 3년간의 평균 영업이익으로 본다.연간 영업이익 = 통계법 제3조제3호에 따른 통계작성기관이 같은 법 제18조에 따른 승인을 받아 작성 · 공표한 제조부문 보통인부의 노임단가×25(일)×12(월).관련법은 공익사업을 위한 토지 등의 취득 및 보상에 관한 법률이다."
입목,"토지에 부착된 수목의 집단으로 그 소유자가 입목에 관한 법률에 따라 소유권보존 등기를 한 것을 말하며, 이것은 토지 · 건물과 별개의 부동산이다.입목으로 등기할 수 있는 수목 집단의 범위는 1필지의 토지 또는 1필지 토지의 일부에서 자라고 있는 모든 수종의 수목이다. 입목의 소유자는 토지와 분리하여 입목을 양도하거나 이를 저당권의 목적으로 할 수 있다. 또한 토지소유권 또는 토지의 지상권을 처분하는 경우에도 그 효력은 입목의 소유 등에 영향을 미치지 않는다.특별자치도지사 · 시장 · 군수 또는 구청장은 입목등록원부를 비치하고 등록하고 이를 정리한다. 해당 수목에 이해관계가 있는 사람은 입목등록원부를 열람하거나 그 등본 또는 초본의 교부를 청구할 수 있다."
1가구1주택,"정부가 주택정책의 목표로 삼고 있는 하나의 지표로 1가구당 1호의 주택을 공급한다는 것을 의미한다. 세대별 주민등록표에 기재되어 있는 세대주와 그 가족으로 구성된 1가구가 국내에 1개의 주택을 소유하는 것을 말한다.지방세법 시행령에서는 1주택을 여러 사람이 공동으로 소유하는 경우에도 공동소유자 각각 1주택을 소유하는 것으로 보고, 주택의 부속토지만을 소유하는 경우에도 주택을 소유하는 것으로 본다. 1주택을 여러 사람이 공동으로 상속받는 경우 지분이 가장 큰 상속인을 그 주택의 소유자로 본다. 이 경우 지분이 가장 큰 상속인이 두 명 이상일 경우에는 지분이 가장 큰 상속인중 그 주택에 거주하는 사람, 나이가 많은 사람의 순서로 그 주택의 소유자를 판정한다."
공부면적,"토지대장, 건축물대장, 등기부등본 등에 기재된 면적으로 해당 서류 기록을 국가가 인정하는 면적을 말한다. 거래 단위나 기준은 공부면적을 기준으로 한다. 이와 달리 실측면적이란 토지 등의 실제 면적을 정식 측량으로 얻은 면적을 말한다. 토지 등을 매매할 때 공부면적기준 매매와 실측면적기준 매매의 두 가지 방식이 있으며, 공부면적기준 매매는 실측면적에 불구하고 금액이 확정되나 실측면적기준 매매의 경우는 실측 후 면적의 상이에 따라 금액을 정산한다."
계약금,"부동산을 팔고사거나 임대차 계약을 체결할 때 약정의 표시로 상대방에게 지급하는 금전 등을 말한다. 부동산 거래에서는 거래금액의 10% 정도의 계약금을 계약할 때 상대방에게 지급하는 것이 관례이다. 계약금은 증약금(證約金), 위약계약금, 해약금(解約金) 등의 법적 성질이 있다.민법에서는 매매의 당사자일방이 계약 당시에 금전 기타 물건을 계약금, 보증금 등의 명목으로 상대방에게 교부한 때에는 당사자 간에 다른 약정이 없는 한 당사자의 일방이 이행에 착수할 때까지 교부자는 이를 포기하고 수령자는 그 배액을 상환하여 매매계약을 해제할 수 있다고 규정하였다. 이때 이것은 해약금의 성격이 있다. 근거법은 민법이다."
공동주택관리분쟁조정위원회,"공동주택의 입주자 · 사용자 · 관리주체 · 입주자대표회의 또는 리모델링주택조합 간의 분쟁을 조정하기 위해 시 · 군 · 구에 두는 위원회를 말한다. 공동주택관리분쟁조정위원회에서 심의 · 조정하는 사항은 다음과 같다.① 입주자대표회의의 구성 · 운영 및 동별 대표자의 자격 · 선임 · 해임 · 임기에 관한 사항,② 공동주택관리기구의 구성 · 운영 등에 관한 사항,③ 관리비 · 사용료 및 장기수선충당금의 징수 · 사용 등에 관한 사항,④ 공동주택(공용부분만 해당한다)의 유지 · 보수 · 개량 등에 관한 사항,⑤ 공동주택의 리모델링에 관한 사항,⑥ 공동주택의 층간소음에 관한 사항,⑦ 혼합주택단지의 분쟁(紛爭)에 관한 사항,⑧ 다른 법령에서 공동주택관리 분쟁조정위원회가 분쟁을 심의, 조정할 수 있도록 한 사항,⑨ 그 밖에 공동주택의 관리와 관련하여 분쟁의 심의, 조정이 필요하다고 대통령령 또는 시군구조례(지방분쟁조정위원회에 한정)에 정한 사항.중앙관리분쟁조정위원회는 위에 나열한 내용 중 ⅰ) 둘 이상의 시 · 군 · 구 관할 구역에 걸친 분쟁 ⅱ) 시군구에 지방분쟁조정위원회가 설치되지 않은 경우 해당 시 · 군 · 구 관할 분쟁 ⅲ) 분쟁당사자가 쌍방이 합의하여 중앙관리분쟁조정위원회에 조정을 신청을 하는 분쟁 ⅳ) 그 밖에 중앙관리분쟁조정위원회에서 관할하는 것이 필요하다고 대통령령으로 정하는 분쟁을 심의, 조정한다.지방관리분쟁조정위원회는 해당 시 · 군 · 구 관할 구역에서 발생한 분쟁중 중앙관리분쟁조정위원회의 심의, 조정 대상인 분쟁 외의 분쟁을 심의, 조정한다. 입주자대표회의 구성 등 내용, 관리비관련 내용, 리모델링 내용, 층간소음내용, 혼합주택단지 분쟁 등 공동주택 관리상 발생하는 문제를 놓고 당사자 간에 분쟁이 있을 때에 분쟁의 당사자는 중앙관리분쟁조정위원회(중앙위원회)에 조정을 신청할 수 있다.이때 중앙위원회는 분쟁의 성질상 위원회에서 조정하는 것이 타당하지 않다고 인정하거나 부정한 목적으로 신청되었다고 인정하면 그 조정을 거부할 수 있다. 중앙위원회가 신청을 받아 조정을 하려고 결정했으면 입주자대표회의와 관리주체 등 당사자에게 그 분쟁조정이 신청되었다는 통지를 하고 통지를 받은 입주자대표회의(구성원 포함)와 관리주체는 그 분쟁조정에 응해야 한다.중앙위원회가 조정신청을 받아 조정절차를 개시하면, 필요시 당사자나 이해관계인의 의견을 들을 수 있다. 중앙위원회는 조정절차를 개시한 날부터 30일 이내에 조정을 완료하고 조정안을 작성하여 당사자에게 제시해야 한다. 조정안을 제시받은 당사자는 제시받은 날부터 30일 이내에 중앙위원회에 그 수락여부를 서면으로 통보해야 하며, 30일 이내 의사표시가 없으면 중앙위원회는 수락한 것으로 본다. 근거법은 공동주택관리법이다."
자산유동화에 관한 법률,"금융기관과 일반기업의 자금조달을 원활하게 하여 재무구조의 건전성을 높이고, 장기적으로 주택자금을 안정적으로 공급하여 주택금융기반을 확충하기 위하여 제정한 법률을 말한다.이 법은 자산유동화의 제도를 확립하며, 자산유동화로 발행되는 유동화증권에 투자한 투자자를 보호함으로써 국민경제의 건전한 발전에 기여함을 목적으로 1998년 9월 16일 제정하였다.우리나라의 외환위기(IMF, 1997) 이후 부동산경기의 침체, 주택건설사업자의 대량 도산 등으로 인하여 금융기관이 채권확보의 어려움을 경험하였고, 이러한 위험을 타개하기 위한 방법으로 부동산의 유동화 논의가 활발하게 제기되었는데, 이를 계기로 자산유동화에 관한 법률을 제정하였다.총칙, 자산유동화계획의 등록 및 유동화 자산의 양도 등, 유동화전문회사, 유동화증권의 발행, 보칙, 벌칙의 6장과 전문 42조 그리고 부칙으로 구성하였다."
건축허가사전결정제도,"건축허가 대상 건축물을 건축하려는 자는 건축허가를 신청하기전에 허가권자에게 그 건축물의 건축에 관한 다음 각 호의 사항에 대한 사전결정을 신청할 수 있다.① 해당 대지에 건축하는 것이 이 법이나 관계 법령에서 허용되는지 여부,② 이 법 또는 관계 법령에 따른 건축기준 및 건축제한, 그 완화에 관한 사항 등을 고려하여 해당 대지에 건축 가능한 건축물의 규모,③ 건축허가를 받기 위하여 신청자가 고려하여야 할 사항.이 경우 사전결정을 신청하는 자는 건축위원회 심의와 ｢도시교통정비 촉진법｣에 따른 교통영향평가서의 검토를 동시에 신청할 수 있다. 사전결정을 신청하는 자는 사전결정신청서에 다음의 도서를 첨부하여 특별자치시장 · 특별자치도지사 또는 시장 · 군수 · 구청장에게 제출해야 한다.① 지방건축위원회에 제출되어야 하는 간략설계도서(사전결정신청과 동시에 건축위원회의 심의를 신청하는 경우만 해당),② 교통영향평가의 검토를 위해 ｢도시교통정비 촉진법｣에서 제출하도록 한 서류(사전결정신청과 동시에 교통영향평가의 검토를 신청하는 경우에 한함),③ 사전환경성검토를 위하여 ｢환경정책기본법｣에서 제출하도록 한 서류(사전결정이 신청된 건축물의 대지면적 등이 ｢환경정책기본법｣에 따른 사전환경성검토 협의대상인 경우만 해당),④ 의제되는 허가를 받거나 신고 또는 협의를 하기 위하여 해당 법령에서 제출하도록 한 서류(해당 사항이 있는 것만 해당),⑤ 건축계획서 및 배치도. 사전결정 신청자는 사전결정일부터 7일 이내에 사전결정서를 송부받을 수 있다.사전결정서에는 법령 등에 의 적합 여부와 의제되는 허가 · 신고 또는 그 협의 여부가 표시된다. 사전결정 통지를 받은 경우에는 다음의 허가를 받거나 신고 또는 협의를 한 것으로 본다.① 개발행위허가,② 산지전용허가와 산지전용신고(다만, 보전산지인 경우에는 도시지역만 해당),③ 농지전용허가 · 신고 및 협의,④ 하천점용허가. 사전결정 신청자는 사전결정을 통지받은 날부터 2년 이내에 건축허가를 신청해야 하며, 이 기간에 건축허가를 신청하지 않으면 사전결정의 효력이 상실된다. 근거법은 건축법이다."
허프의 확률모델,"허프(David L. Huff)가 중력이론을 토대로 대도시에서 소비자가 쇼핑패턴을 결정하는 확률을 제시한 모델을 말한다. 상업입지를 선정하거나 측정하는데 흔히 이용하며, 근래에는 허프의 기본 모델을 응용한 변형모델을 개발하여 많이 이용한다.허프는 어떤 지점에 입지하고 있는 소비자가 특정 지역의 쇼핑센터에 갈 확률을① 소비자와 행선지의 거리② 경쟁하는 쇼핑센터의 수③ 쇼핑센터의 크기로 결정한다는 가정 하에 수식으로 표현했다.허프 박사는 레일리 법칙, 콘버스 법칙에서 이용하는 인구, 거리에 매장의 크기(면적)를 더하여 소매 흡인률을 산출하였다. 이 산식은 소비자가 당해 지역에서 어느 지역으로 갈지 쇼핑갈 확률을 찾는 것이다.실제로는 다음과 같은 내용도 파악할 수 있다.① 어떤 상업지역에서 각 상점가로 쇼핑갈 확률② 그 상권의 현재 소비자 인구, 세대수 및 장래의 인구, 세대수③ 신규 진입 후 각 상가의 쇼핑고객 비율④ 신규 진입 후 현재 상가(일용품, 선매품)의 영향도 지수⑤ 신규 진입하는 점포의 적정매장면적 검토⑥ 신규 진입하는 점포의 경영면에서 본 매장효율의 산출 등.허프 모델은 어떤 지역에서 다수의 경쟁업체가 입지할 경우 각 점포의 이론적인 소비자의 유인흡인력 및 매상고를 추산하는 데 유용하다.여기서 Pi ＝ 거주지역 i에서 특정쇼핑센터로 갈 소비자의 확률, Sj ＝ 쇼핑센터의 크기(매장면적), Tj ＝ i와 쇼핑센터의 소요시간, n ＝ 경합하는 쇼핑센터의 수, b ＝ 시간거리의 저항계수로 바로미터라 할 때, 허프의 확률모델식은 다음과 같이 표기할 수 있다."
층고,건축법상 건축물 층의 높이를 말한다. 이때 층고는 방의 바닥구조체 윗면으로부터 위층 바닥구조체의 윗면까지의 높이를 가리킨다. 그러나 동일한 방에서 층의 높이가 다른 부분이 있을 때는 그 각 부분의 높이에 따른 면적에 따라 가중 평균한 것을 높이로 한다.
임대인 계약갱신거절권,임대인은 정당한 사유 없이 임대차인의 계약갱신요구에 거절하지 못하나① 임차인이 3기의 차임액에 해당하는 금액에 이르도록 차임을 연체한 사실이 있는 경우② 임차인이 거짓이나 그 밖의 부정한 방법으로 임차한 경우③ 서로 합의하여 임대인이 임차인에게 상당한 보상을 제공한 경우④ 임차인이 임대인의 동의 없이 목적 건물의 전부 또는 일부를 전대(轉貸)한 경우⑤ 임차인이 임차한 건물의 전부 또는 일부를 고의나 중대한 과실로 파손한 경우⑥ 임차한 건물의 전부 또는 일부가 멸실되어 임대차의 목적을 달성하지 못할 경우⑦ 임대인이 목적 건물의 전부 또는 대부분을 철거하거나 재건축하기 위하여 목적 건물의 점유를 회복할 필요가 있는 경우⑧ 그 밖에 임차인이 임차인으로서의 의무를 현저히 위반하거나 임대차를 계속하기 어려운 중대한 사유가 있는 경우에는 임대를 거절할 수 있다.근거법은 상가건물 임대차 보호법이다.
경비업무,"건물의 출입구와 건물 내외를 주요대상으로 방범을 위한 감시 · 순찰을 실시하는 업무로서, 업무수준은 시설의 규모에 그다지 관계없지만, 건물의 중요도에 따라서 달라진다. 특히 공동주택에서 고층아파트단지의 경비는 대부분 각동마다 출입구(공용현관) 앞에 경비실을 설치하여 경비하므로 많은 인력이 소요된다.경비원만으로 불충분한 경우엔 경보기, 감시카메라 등 기계적인 전자감응장치 방범시스템을 이용한다. 공동주택에서 경비업무에 종사하는 사람과 안전관리계획에 따라 시설물 안전관리자 및 안전관리책임자로 선정된 사람은 시장 · 군수 · 구청장이 관할 경찰서장에게 위탁하여 실시하는 연2회 이내(매 회별 4시간 이내) 방범교육에 참석하여 강도 · 절도 등의 예방 및 대응에 관한 교육을 받아야 한다. 근거는 공동주택관리법이다."
공공지원민간임대주택,"임대사업자가 다음에 해당하는 민간임대주택을 8년 이상 임대할 목적으로 취득하여 임대료 및 임차인의 자격 제한 등을 받아 임대하는 민간임대주택을 말한다.이에는 ① 주택도시기금의 출자를 받아 건설 또는 매입하는 민간임대주택,② 공공택지 또는 민간임대주택법에 따라 수의계약 등으로 공급되는 토지 및 혁신도시 조성 및 발전에 관한 특별법에 따른 종전부동산을 매입 또는 임차하여 건설하는 민간임대주택,③ 국토의 계획 및 이용에 관한 법률에 따라 용도지역 변경을 통하여 용적률을 완화 받아 건설하는 민간임대주택,④ 공공지원민간임대주택 공급촉진지구에서 건설하는 민간임대주택,⑤ 그 밖에 국토교통부령으로 정하는 공공지원을 받아 건설 또는 매입하는 민간임대주택 등이 있다.근거법은 민간임대주택에 관한 특별법이다."
필요비,"부동산을 유지 보수하는데 필요한 유지비 및 수리비용을 말한다. 민법 규정의 내용은 다음과 같은 것이 있다.① 점유자가 점유물을 반환할 때 회복자에게 점유물을 보존하기 위하여 지출한 필요비를 청구할 수 있다.② 유치권자가 유치물에 관하여 필요비를 지출한 때에는 소유자에게 그 상환을 청구할 수 있다.③ 저당물의 제삼취득자가 그 부동산의 보존, 개량을 위하여 필요비를 지출한 경우에는 저당물의 경매가에서 우선 변제를 받을 수 있다.④ 임차인이 임차물의 보존에 관한 필요비를 지출한 때에는 임대인에 대하여 그 상환을 청구할 수 있다.⑤ 수임인이 위임사무의 처리에 관하여 필요비를 지출한 때에는 위임인에 대하여 지출한 날 이후의 이자를 청구할 수 있다. 이는 부동산이 그 효용을 잃지 않게 하기 위함이다."
자산관리회사,"부동산투자회사법에 따라 위탁관리부동산투자회사 또는 기업구조조정 부동산투자회사로부터 기업의 채권이나 부실자산의 관리 위탁을 받아 자산의 투자 · 운용업무를 수행하는 것을 목적으로 설립된 회사를 말한다.이 회사는 자산을 체계적, 효율적으로 관리, 처분하여 회수를 극대화하며 관리자산의 가치를 높이기 위해 회생 가능한 기업의 워크아웃 프로그램(출자전환, 채무조정 및 부채탕감 등)을 운용하고 부동산을 개발, 가공하여 자산 가치를 높이는 노력을 한다.자산관리회사를 설립하려면① 자본금 70억원 이상② 상근 자산운용 전문인력을 5명 이상 확보③ 자산관리회사와 투자자 간, 특정 투자자와 다른 투자자 간의 이해상충을 방지하기 위한 체계를 갖추어야 한다.자산관리회사는 다른 업무를 겸영할 수 없다."
개별주택가격,"시장 · 군수 · 구청장이 당해 관할구역 안의 단독주택가격을 조사하고 결정하여 하나하나 단독주택에 고시한 가격을 말한다. 국토교통부장관이 용도지역, 건물구조 등이 일반적으로 유사하다고 인정하는 단독주택 중에서 표준적으로 이용하고 있다고 볼 수 있는 주택의 가격을 산정하면(이것을 표준주택가격이라 함), 이것을 기준으로 하나하나 주택과 면적, 건축재료, 접면도로 등 여러 가지 요인을 비교하여 하나하나의 개별주택가격을 산정한다.이때 표준주택과 개별주택 가격을 비교하는 표를 ‘주택가격비준표’라 한다. 개별주택가격은 주택시장의 가격정보를 제공하고 종합부동산세, 양도세과표, 상속세 및 증여세 과표 등 국세 관련, 재산세, 취득세, 과표 등 지방세 과세 등의 기준으로 삼고, 재건축부담금(재건축초과이익환수에 관한 법률), 청약가점제무주택자분류(주택공급에 관한 규칙), 국민주택채권매입기준(주택법 시행령), 주택자금소득공제(소득세법), 기초노령연금수급권자 소득 인정액 산출 기초(기초노령연금법 시행규칙), 분양가상한제채권매입상한액 결정기준(주택법), 환매조건부분양주택의 환매가격(주택법), 공직자 재산등록 시 등록(공직자윤리법), 노인복지주택입소자부자격자 강제 이행금 부과(노인복지법), 교통사고유자녀 등 지원 시 기준적합여부 판단(자동차손해배상보장법) 등 여러 가지 기준으로 활용한다.따라서 주택소유자는 이 가격과 이해관계가 있으므로 고시한 가격을 인정할 수 없다고 생각하면 시장, 군수, 구청장에게 이의 신청서를 제출하여야 하며, 만일 이의 신청이 타당하면 바로 잡을 수 있다."
방해배제청구권,"공공의 위법한 행정행위 침해가 자신의 법률상 이익을 침해하고 있을 때, 또는 물권의 내용이 정당한 근원(根源)이 없는 행위로 방해를 받고 있을 때, 그 행정주체나 침해자에게 그 위법한 침해를 제거해 줄 것을 청구할 수 있는 권리를 말한다. 예를 들어 갑의 사유지에 공공 행정주체가 무단으로 도로를 낼 경우, 갑이 공공주체에게 자신의 사유지를 본래의 상태로 되돌려줄 것을 청구하는 것이다.대상이 되는 목적물은 토지 소유권이나 점유권, 통행권, 환경권 등 다양하다. 행정상의 원상회복 또는 결과제거청구권으로도 부른다."
직계존속,"조상으로부터 직선으로 계속하여 자기에 이르기까지의 혈족을 일컫는 말로서, 부모 · 조부모 · 증조부모 · 고조부모 등을 말한다. 직계비속과 반대되는 개념이다."
고도제한,"건축법, 항공법 등 여러 법령에 규정해 놓은 건축물 및 공작물의 높이를 제한하는 규제를 말한다. 주변에 공항이나 군부대 시설이 산재해 있는 수도권 지역에서는 많은 지역이 비행 안전구역으로 고도제한을 받고 있는데, 이 때문에 사유재산권 행사와 마찰이 생기고 있다. 서울 잠실의 제2롯데월드가 대표적인 예이다."
재조달원가,"부동산평가 용어로 현존하는 부동산을 가격시점에서 새로 건축하거나 조성하는 것으로 간주하여 구하는 적정원가(適正原價)의 총액을 말한다.재조달원가는 도급건설(都給建設)을 전제로 수급인에게 지급하는 표준적인 건설비와 도급인이 별도로 부담하는 통상부대비용을 합한 것이다. 여기서 표준적인 건설비는 직접공사비와 간접 공사비 및 수급인의 이윤을 포함시키며, 통상부대비용이란 등기비용, 건설기간 중의 금리 · 지대 · 감독비용 등을 말한다. 설령 건축주가 스스로 건축하더라도 도급건설하는 것으로 간주하여 수급인의 이윤 등을 재조달원가에 포함시켜야 한다."
메자닌금융,"메자닌은 건물 1층과 2층 사이에 있는 중간층을 뜻하는 이탈리아어로 메자닌 캐피탈이란 자본과 부채의 중간적인 성격이 있는 재원을 통칭한다. 후순위대출이나 우선주 등이 이에 해당한다. 메자닌 캐피탈은 투자자의 보호 장치로 활용하거나 다양한 투자자금을 끌어들이기 위해 사용된다.후순위대출 등 메자닌 캐피탈을 이용할 경우 일반 순위 대출을 제공한 대주(貸主)의 입장에서는 사실상 지분과 같은 역할을 하기 때문에 프로젝트의 신뢰도가 향상되고, 투자금의 원리금 회수 가능성이 높아진다.후순위대출의 경우 보통 위험이 높은 만큼 일반대출보다 금리가 높아 고위험-고수익을 원하는 투자자를 끌어들이는데 활용이 가능하다. 전환사채 등 지분으로 전환할 수 있는 부채자금의 경우 투자자는 표면금리는 일반대출보다 낮지만 장래 지분으로 전환함에 따른 자본이득을 얻을 수 있다. 개발자는 이자비용을 손비처리할 수 있기 때문에 세제혜택을 겨냥하여 메자닌 캐피탈을 활용하는 경우도 있다.이런 메자닌 캐피탈은 건설금융에서 총비용과 조달된 자금 사이의 차액의 70~80%를 메워 주는 역할을 하며, 담보가 약하기 때문에 이자율이 높은 편이다. 이 메자닌 캐피탈은 개발자에게 투자자금의 조기회수 기회와 건설에 대한 리스크를 줄여주는 역할도 있다."
